,day,quota_daily,quota_daily_balance
326,2016-04-05,130.0,126.5596
327,2016-04-06,130.0,131.1674
328,2016-04-07,130.0,129.2305
329,2016-04-08,130.0,129.2947
330,2016-04-11,130.0,116.6024
331,2016-04-12,130.0,117.9328
332,2016-04-13,130.0,94.3886
333,2016-04-14,130.0,110.9276
334,2016-04-15,130.0,127.049
335,2016-04-18,130.0,136.3625
336,2016-04-19,130.0,124.5726
337,2016-04-20,130.0,140.4725
338,2016-04-21,130.0,123.0491
339,2016-04-22,130.0,127.1583
340,2016-04-25,130.0,126.9692
341,2016-04-26,130.0,123.6909
342,2016-04-27,130.0,130.2404
343,2016-04-28,130.0,128.4768
344,2016-04-29,130.0,125.1929
345,2016-05-03,130.0,119.1717
346,2016-05-04,130.0,128.5158
347,2016-05-05,130.0,131.846
348,2016-05-06,130.0,139.3436
349,2016-05-09,130.0,131.1178
350,2016-05-10,130.0,129.9639
351,2016-05-11,130.0,132.0016
352,2016-05-12,130.0,129.6749
353,2016-05-13,130.0,133.5957
354,2016-05-16,130.0,125.4267
355,2016-05-17,130.0,126.8968
356,2016-05-18,130.0,129.5
357,2016-05-19,130.0,128.7952
358,2016-05-20,130.0,123.88
359,2016-05-23,130.0,122.9422
360,2016-05-24,130.0,127.2916
361,2016-05-25,130.0,114.3441
362,2016-05-26,130.0,121.2479
363,2016-05-27,130.0,118.5076
364,2016-05-30,130.0,100.1547
365,2016-05-31,130.0,92.2901
366,2016-06-01,130.0,105.779
367,2016-06-02,130.0,117.9468
368,2016-06-03,130.0,110.6478
369,2016-06-06,130.0,122.7552
370,2016-06-07,130.0,113.3496
371,2016-06-08,130.0,127.5706
372,2016-06-13,130.0,138.7972
373,2016-06-14,130.0,130.0761
374,2016-06-15,130.0,134.7302
375,2016-06-16,130.0,135.8033
376,2016-06-17,130.0,118.3919
377,2016-06-20,130.0,127.0388
378,2016-06-21,130.0,128.1526
379,2016-06-22,130.0,119.8842
380,2016-06-23,130.0,127.7661
381,2016-06-24,130.0,148.2151
382,2016-06-27,130.0,128.6401
383,2016-06-28,130.0,127.3358
384,2016-06-29,130.0,119.0424
385,2016-06-30,130.0,130.0
386,2016-07-04,130.0,117.6753
387,2016-07-05,130.0,131.1767
388,2016-07-06,130.0,136.0281
389,2016-07-07,130.0,131.7569
390,2016-07-08,130.0,131.7453
391,2016-07-11,130.0,114.071
392,2016-07-12,130.0,111.8563
393,2016-07-13,130.0,124.4272
394,2016-07-14,130.0,122.5658
395,2016-07-15,130.0,125.4745
396,2016-07-18,130.0,122.5024
397,2016-07-19,130.0,124.1106
398,2016-07-20,130.0,126.2283
399,2016-07-21,130.0,122.4293
400,2016-07-22,130.0,126.7406
401,2016-07-25,130.0,125.0304
402,2016-07-26,130.0,124.4363
403,2016-07-27,130.0,119.255
404,2016-07-28,130.0,132.5472
405,2016-07-29,130.0,126.4422
406,2016-08-01,130.0,115.8455
407,2016-08-03,130.0,130.0
408,2016-08-04,130.0,131.3252
409,2016-08-05,130.0,122.2949
410,2016-08-08,130.0,120.1695
411,2016-08-09,130.0,113.9827
412,2016-08-10,130.0,116.8405
413,2016-08-11,130.0,119.5273
414,2016-08-12,130.0,123.8416
415,2016-08-15,130.0,121.4549
416,2016-08-16,130.0,79.8087
417,2016-08-17,130.0,112.6355
418,2016-08-18,130.0,115.1928
419,2016-08-19,130.0,123.8642
420,2016-08-22,130.0,128.2583
421,2016-08-23,130.0,125.3452
422,2016-08-24,130.0,125.5817
423,2016-08-25,130.0,124.7504
424,2016-08-26,130.0,125.4307
425,2016-08-29,130.0,128.5044
426,2016-08-30,130.0,118.4608
427,2016-08-31,130.0,124.6891
428,2016-09-01,130.0,126.0686
429,2016-09-02,130.0,129.5197
430,2016-09-05,130.0,113.1205
431,2016-09-06,130.0,117.9465
432,2016-09-07,130.0,121.6458
433,2016-09-08,130.0,117.3642
434,2016-09-09,130.0,130.6953
435,2016-09-12,130.0,152.2185
436,2016-09-13,130.0,131.077
437,2016-09-14,130.0,139.6325
438,2016-09-19,130.0,137.1323
439,2016-09-20,130.0,136.5877
440,2016-09-21,130.0,130.8526
441,2016-09-22,130.0,118.0174
442,2016-09-23,130.0,123.9662
443,2016-09-26,130.0,133.3101
444,2016-09-27,130.0,132.2157
445,2016-09-28,130.0,131.063
446,2016-09-29,130.0,124.1289
447,2016-10-11,130.0,119.5533
448,2016-10-12,130.0,135.2677
449,2016-10-13,130.0,134.6456
450,2016-10-14,130.0,119.7417
451,2016-10-17,130.0,131.4361
452,2016-10-18,130.0,122.4171
453,2016-10-19,130.0,125.8251
454,2016-10-20,130.0,124.8572
455,2016-10-24,130.0,121.3505
456,2016-10-25,130.0,120.4404
457,2016-10-26,130.0,126.9881
458,2016-10-27,130.0,135.4041
459,2016-10-28,130.0,125.8388
460,2016-10-31,130.0,127.6737
461,2016-11-01,130.0,125.3687
462,2016-11-02,130.0,139.4561
463,2016-11-03,130.0,133.5024
464,2016-11-04,130.0,131.6033
465,2016-11-07,130.0,128.9663
466,2016-11-08,130.0,126.2803
467,2016-11-09,130.0,169.9568
468,2016-11-10,130.0,113.5641
469,2016-11-11,130.0,135.8399
470,2016-11-14,130.0,131.1269
471,2016-11-15,130.0,129.4195
472,2016-11-16,130.0,122.0206
473,2016-11-17,130.0,129.7288
474,2016-11-18,130.0,130.2391
475,2016-11-21,130.0,128.2433
476,2016-11-22,130.0,116.2468
477,2016-11-23,130.0,118.3666
478,2016-11-24,130.0,120.6828
479,2016-11-25,130.0,112.345
480,2016-11-28,130.0,115.3315
481,2016-11-29,130.0,119.096
482,2016-11-30,130.0,118.2884
483,2016-12-01,130.0,119.5482
484,2016-12-02,130.0,144.3672
485,2016-12-05,130.0,143.9244
486,2016-12-06,130.0,133.966
487,2016-12-06,130.0,110.6106
488,2016-12-07,130.0,127.8383
489,2016-12-07,130.0,112.2087
490,2016-12-08,130.0,123.5444
491,2016-12-08,130.0,112.9161
492,2016-12-09,130.0,132.2345
493,2016-12-09,130.0,125.7734
494,2016-12-12,130.0,131.1729
495,2016-12-12,130.0,117.7424
496,2016-12-13,130.0,125.0659
497,2016-12-13,130.0,117.4856
498,2016-12-14,130.0,128.7445
499,2016-12-14,130.0,121.2608
500,2016-12-15,130.0,131.954
501,2016-12-15,130.0,122.4133
502,2016-12-16,130.0,126.4181
503,2016-12-16,130.0,120.6671
504,2016-12-19,130.0,139.8216
505,2016-12-19,130.0,125.1843
506,2016-12-20,130.0,156.3742
507,2016-12-20,130.0,128.3014
508,2016-12-21,130.0,131.5065
509,2016-12-21,130.0,126.3439
510,2016-12-22,130.0,138.4862
511,2016-12-22,130.0,126.0993
512,2016-12-23,130.0,130.0
513,2016-12-23,130.0,130.0
514,2016-12-28,130.0,137.8487
515,2016-12-28,130.0,126.1538
516,2016-12-29,130.0,133.2496
517,2016-12-29,130.0,126.5147
518,2016-12-30,130.0,132.0033
519,2016-12-30,130.0,126.9992
520,2017-01-03,130.0,135.8247
521,2017-01-03,130.0,123.8451
522,2017-01-04,130.0,143.4885
523,2017-01-04,130.0,123.703
524,2017-01-05,130.0,139.1234
525,2017-01-05,130.0,123.665
526,2017-01-06,130.0,151.0342
527,2017-01-06,130.0,123.5638
528,2017-01-09,130.0,138.4678
529,2017-01-09,130.0,121.1382
530,2017-01-10,130.0,135.6552
531,2017-01-10,130.0,120.4688
532,2017-01-11,130.0,121.5373
533,2017-01-11,130.0,120.7695
534,2017-01-12,130.0,123.0758
535,2017-01-12,130.0,123.9588
536,2017-01-13,130.0,123.6596
537,2017-01-13,130.0,123.7865
538,2017-01-16,130.0,142.6615
539,2017-01-16,130.0,124.4074
540,2017-01-17,130.0,123.3602
541,2017-01-17,130.0,124.1582
542,2017-01-18,130.0,121.3916
543,2017-01-19,130.0,126.6654
544,2017-01-19,130.0,121.9139
545,2017-01-20,130.0,120.7616
546,2017-01-20,130.0,121.5734
547,2017-01-23,130.0,122.801
548,2017-01-23,130.0,122.3551
549,2017-01-24,130.0,122.6544
550,2017-01-24,130.0,122.9263
551,2017-01-25,130.0,130.1115
552,2017-01-25,130.0,127.0949
553,2017-01-26,130.0,125.1849
554,2017-01-26,130.0,125.159
555,2017-02-03,130.0,123.116
556,2017-02-03,130.0,122.8351
557,2017-02-06,130.0,108.5299
558,2017-02-06,130.0,122.6027
559,2017-02-07,130.0,118.8321
560,2017-02-07,130.0,123.3078
561,2017-02-08,130.0,124.3871
562,2017-02-08,130.0,122.2394
563,2017-02-09,130.0,112.2581
564,2017-02-09,130.0,127.334
565,2017-02-10,130.0,118.8394
566,2017-02-10,130.0,123.5899
567,2017-02-13,130.0,116.977
568,2017-02-13,130.0,124.9212
569,2017-02-14,130.0,121.0319
570,2017-02-14,130.0,124.3715
571,2017-02-15,130.0,110.7864
572,2017-02-15,130.0,124.7511
573,2017-02-16,130.0,118.5106
574,2017-02-16,130.0,121.3728
575,2017-02-17,130.0,127.6337
576,2017-02-17,130.0,119.195
577,2017-02-20,130.0,116.8651
578,2017-02-20,130.0,123.1896
579,2017-02-21,130.0,123.8849
580,2017-02-21,130.0,121.4913
581,2017-02-22,130.0,125.7067
582,2017-02-22,130.0,122.0562
583,2017-02-23,130.0,125.4875
584,2017-02-23,130.0,119.0845
585,2017-02-24,130.0,126.3668
586,2017-02-24,130.0,124.2855
587,2017-02-27,130.0,128.7093
588,2017-02-27,130.0,126.1041
589,2017-02-28,130.0,130.5447
590,2017-02-28,130.0,126.6052
591,2017-03-01,130.0,124.4146
592,2017-03-01,130.0,122.9645
593,2017-03-02,130.0,130.9934
594,2017-03-02,130.0,123.9286
595,2017-03-03,130.0,132.945
596,2017-03-03,130.0,124.6214
597,2017-03-06,130.0,132.4337
598,2017-03-06,130.0,123.21
599,2017-03-07,130.0,133.5655
600,2017-03-07,130.0,121.9176
601,2017-03-08,130.0,132.6788
602,2017-03-08,130.0,125.2259
603,2017-03-09,130.0,150.7391
604,2017-03-09,130.0,127.2341
605,2017-03-10,130.0,146.0527
606,2017-03-10,130.0,121.1885
607,2017-03-13,130.0,130.7203
608,2017-03-13,130.0,120.5487
609,2017-03-14,130.0,138.3765
610,2017-03-14,130.0,130.4878
611,2017-03-15,130.0,132.8589
612,2017-03-15,130.0,122.4281
613,2017-03-16,130.0,117.0514
614,2017-03-16,130.0,123.771
615,2017-03-17,130.0,119.0361
616,2017-03-17,130.0,127.5648
617,2017-03-20,130.0,114.8236
618,2017-03-20,130.0,127.4142
619,2017-03-21,130.0,121.5511
620,2017-03-21,130.0,128.5169
621,2017-03-22,130.0,129.8757
622,2017-03-22,130.0,123.5921
623,2017-03-23,130.0,121.7731
624,2017-03-23,130.0,120.1986
625,2017-03-24,130.0,118.6872
626,2017-03-24,130.0,123.0811
627,2017-03-27,130.0,131.1284
628,2017-03-27,130.0,125.1011
629,2017-03-28,130.0,123.5014
630,2017-03-28,130.0,127.0927
631,2017-03-29,130.0,127.7714
632,2017-03-29,130.0,128.9217
633,2017-03-30,130.0,118.851
634,2017-03-30,130.0,128.4305
635,2017-03-31,130.0,131.5241
636,2017-03-31,130.0,129.7456
637,2017-04-05,130.0,122.3542
638,2017-04-05,130.0,119.2959
639,2017-04-06,130.0,130.1737
640,2017-04-06,130.0,128.3373
641,2017-04-07,130.0,129.3049
642,2017-04-07,130.0,124.2286
643,2017-04-10,130.0,128.532
644,2017-04-10,130.0,122.0174
645,2017-04-11,130.0,136.3388
646,2017-04-11,130.0,127.2902
647,2017-04-12,130.0,133.9769
648,2017-04-12,130.0,127.9779
649,2017-04-13,130.0,130.0
650,2017-04-13,130.0,130.0
651,2017-04-18,130.0,135.2727
652,2017-04-18,130.0,123.5098
653,2017-04-19,130.0,125.4931
654,2017-04-19,130.0,122.2483
655,2017-04-20,130.0,120.6994
656,2017-04-20,130.0,121.8089
657,2017-04-21,130.0,129.1853
658,2017-04-21,130.0,123.5023
659,2017-04-24,130.0,129.4955
660,2017-04-24,130.0,125.8349
661,2017-04-25,130.0,122.0042
662,2017-04-25,130.0,122.0819
663,2017-04-26,130.0,125.796
664,2017-04-26,130.0,122.7414
665,2017-04-27,130.0,127.6916
666,2017-04-27,130.0,123.2714
667,2017-04-28,130.0,122.049
668,2017-04-28,130.0,120.2793
669,2017-05-02,130.0,130.0
670,2017-05-02,130.0,130.0
671,2017-05-04,130.0,135.0046
672,2017-05-04,130.0,113.2152
673,2017-05-05,130.0,137.7365
674,2017-05-05,130.0,124.233
675,2017-05-08,130.0,135.6992
676,2017-05-08,130.0,121.1331
677,2017-05-09,130.0,118.5887
678,2017-05-09,130.0,118.5596
679,2017-05-10,130.0,118.5124
680,2017-05-10,130.0,118.6637
681,2017-05-11,130.0,115.9358
682,2017-05-11,130.0,120.392
683,2017-05-12,130.0,133.8744
684,2017-05-12,130.0,123.2361
685,2017-05-15,130.0,121.1912
686,2017-05-15,130.0,121.2397
687,2017-05-16,130.0,113.4668
688,2017-05-16,130.0,114.9121
689,2017-05-17,130.0,123.9981
690,2017-05-17,130.0,120.4556
691,2017-05-18,130.0,128.3371
692,2017-05-18,130.0,121.5546
693,2017-05-19,130.0,126.1207
694,2017-05-19,130.0,120.1715
695,2017-05-22,130.0,129.1467
696,2017-05-22,130.0,124.406
697,2017-05-23,130.0,132.7215
698,2017-05-23,130.0,123.3774
699,2017-05-24,130.0,126.4874
700,2017-05-24,130.0,121.5549
701,2017-05-25,130.0,119.2535
702,2017-05-25,130.0,124.0016
703,2017-05-26,130.0,133.0035
704,2017-05-26,130.0,126.5607
705,2017-05-31,130.0,143.3155
706,2017-05-31,130.0,132.1371
707,2017-06-01,130.0,148.7228
708,2017-06-01,130.0,127.3398
709,2017-06-02,130.0,122.9585
710,2017-06-02,130.0,119.739
711,2017-06-05,130.0,121.2882
712,2017-06-05,130.0,119.8321
713,2017-06-06,130.0,121.0663
714,2017-06-06,130.0,117.674
715,2017-06-07,130.0,124.2642
716,2017-06-07,130.0,111.9207
717,2017-06-08,130.0,119.6919
718,2017-06-08,130.0,116.0965
719,2017-06-09,130.0,120.9737
720,2017-06-09,130.0,124.3577
721,2017-06-12,130.0,140.1922
722,2017-06-12,130.0,129.0228
723,2017-06-13,130.0,130.9642
724,2017-06-13,130.0,123.027
725,2017-06-14,130.0,140.0674
726,2017-06-14,130.0,132.5804
727,2017-06-15,130.0,115.6586
728,2017-06-15,130.0,121.307
729,2017-06-16,130.0,123.4688
730,2017-06-16,130.0,125.1111
731,2017-06-19,130.0,117.9676
732,2017-06-19,130.0,118.0515
733,2017-06-20,130.0,130.9274
734,2017-06-20,130.0,125.0554
735,2017-06-21,130.0,125.2271
736,2017-06-21,130.0,119.4953
737,2017-06-22,130.0,125.0948
738,2017-06-22,130.0,117.2015
739,2017-06-23,130.0,124.1532
740,2017-06-23,130.0,119.381
741,2017-06-26,130.0,132.4657
742,2017-06-26,130.0,125.2436
743,2017-06-27,130.0,110.0608
744,2017-06-27,130.0,122.4974
745,2017-06-28,130.0,137.1581
746,2017-06-28,130.0,125.9848
747,2017-06-29,130.0,107.8345
748,2017-06-29,130.0,119.7892
749,2017-06-30,130.0,139.6052
750,2017-06-30,130.0,131.1232
751,2017-07-03,130.0,128.2074
752,2017-07-03,130.0,126.7824
753,2017-07-04,130.0,133.1119
754,2017-07-04,130.0,132.0172
755,2017-07-05,130.0,126.5898
756,2017-07-05,130.0,126.6078
757,2017-07-06,130.0,138.1195
758,2017-07-06,130.0,131.9651
759,2017-07-07,130.0,131.2794
760,2017-07-07,130.0,125.1804
761,2017-07-10,130.0,128.744
762,2017-07-10,130.0,121.0538
763,2017-07-11,130.0,128.3714
764,2017-07-11,130.0,122.4626
765,2017-07-12,130.0,123.9451
766,2017-07-12,130.0,119.2083
767,2017-07-13,130.0,122.0951
768,2017-07-13,130.0,123.4848
769,2017-07-14,130.0,130.8478
770,2017-07-14,130.0,127.3267
771,2017-07-17,130.0,129.2468
772,2017-07-17,130.0,116.2804
773,2017-07-18,130.0,118.7134
774,2017-07-18,130.0,120.3096
775,2017-07-19,130.0,122.4616
776,2017-07-19,130.0,118.9226
777,2017-07-20,130.0,131.8959
778,2017-07-20,130.0,126.0344
779,2017-07-21,130.0,126.1775
780,2017-07-21,130.0,117.815
781,2017-07-24,130.0,127.9347
